iter	Logloss
0	0.6261650272
1	0.568425374
2	0.5324060695
3	0.5054648535
4	0.4840650683
5	0.4652962103
6	0.4479266424
7	0.4340245372
8	0.4197981856
9	0.4081285648
10	0.4006420009
11	0.3930653378
12	0.3865757001
13	0.3813352676
14	0.3740828736
15	0.3704416935
16	0.3647123539
17	0.3611836916
18	0.3579471288
19	0.3553640333
20	0.3525577374
21	0.3508296667
22	0.349474471
23	0.3473679548
24	0.3459599755
25	0.3434521467
26	0.3404447395
27	0.3391164581
28	0.3371723115
29	0.3362734969
30	0.3346026867
31	0.3334778561
32	0.332074454
33	0.3306753559
34	0.3294582862
35	0.328846272
36	0.3281715147
37	0.3273903606
38	0.3264627661
39	0.3255239631
40	0.3246085112
41	0.3241116044
42	0.3234410354
43	0.3229284321
44	0.3222709462
45	0.3207688152
46	0.3200303287
47	0.3194134204
48	0.3186629379
49	0.3176096584
50	0.3172191563
51	0.3167381891
52	0.315780708
53	0.3151912065
54	0.3145821036
55	0.3138562357
56	0.3133127762
57	0.3128613055
58	0.3125402923
59	0.3122230315
60	0.3119916442
61	0.3116719052
62	0.3112192061
63	0.3109315018
64	0.3105804811
65	0.3103671213
66	0.3099462956
67	0.3096961177
68	0.3092896312
69	0.3091570361
70	0.3086286634
71	0.3081646685
72	0.3075153845
73	0.3071553191
74	0.3068816049
75	0.3060039992
76	0.30574247
77	0.3054351356
78	0.3050348355
79	0.30483555
80	0.3043328791
81	0.3040228823
82	0.3036217627
83	0.3033068178
84	0.3029908459
85	0.3027089946
86	0.3024759221
87	0.302180312
88	0.3020049177
89	0.3017192454
90	0.3015467188
91	0.3013213815
92	0.3011120933
93	0.3007517447
94	0.3004216231
95	0.3001743738
96	0.2999968786
97	0.2997113525
98	0.2993288487
99	0.2990724905
100	0.2985392636
101	0.2983906523
102	0.2976916256
103	0.2975378103
104	0.2973672123
105	0.2971412315
106	0.2967537124
107	0.2963307751
108	0.2959241106
109	0.295691826
110	0.295449163
111	0.295077952
112	0.2948861043
113	0.2947897427
114	0.2946572379
115	0.2944698792
116	0.2943269849
117	0.294109683
118	0.2939627337
119	0.2936886863
120	0.2935770942
121	0.2932675149
122	0.2931103095
123	0.2927530052
124	0.2924484342
125	0.2921307754
126	0.2918963214
127	0.2916234364
128	0.291327377
129	0.2911192305
130	0.2909484479
131	0.2907080793
132	0.2905238364
133	0.2904426861
134	0.2902947979
135	0.2902140371
136	0.2900459047
137	0.2898171546
138	0.2896357307
139	0.2894124834
140	0.2892104655
141	0.2888634515
142	0.2886424914
143	0.2885606726
144	0.2883993155
145	0.288254867
146	0.2880105791
147	0.2878638313
148	0.287664594
149	0.2874542122
150	0.2873423874
151	0.2870971071
152	0.2868950472
153	0.2866828204
154	0.286295179
155	0.2860726357
156	0.2859455138
157	0.2858327841
158	0.2856854051
159	0.2855211504
160	0.2852097708
161	0.28502877
162	0.2848937558
163	0.2848163706
164	0.2846310023
165	0.2844936041
166	0.2843809299
167	0.2842393016
168	0.2840825741
169	0.2839606116
170	0.2838802537
171	0.2836850041
172	0.2834940535
173	0.2831470817
174	0.2829993046
175	0.2828397382
176	0.2826367704
177	0.2825069871
178	0.2823063891
179	0.2822138281
180	0.281988861
181	0.2817683817
182	0.281584749
183	0.2813184477
184	0.2812050982
185	0.2810474436
186	0.2807786558
187	0.2805467371
188	0.2803684968
189	0.2801883016
190	0.2800884422
191	0.2799600297
192	0.279642049
193	0.2794281024
194	0.2792661969
195	0.2791261937
196	0.2790194099
197	0.2789079443
198	0.2787525948
199	0.2786194608
200	0.2783932021
201	0.2780795409
202	0.2778797968
203	0.2777502709
204	0.2776535431
205	0.2774233387
206	0.2772429113
207	0.2770918556
208	0.2769734587
209	0.2768317639
210	0.2767409099
211	0.2765854704
212	0.2764921075
213	0.2763660095
214	0.2761996899
215	0.2761030095
216	0.2759862619
217	0.2758906716
218	0.2757763574
219	0.2756775804
220	0.2756323249
221	0.2754394416
222	0.2753167214
223	0.2752024984
224	0.2751107981
225	0.2750006138
226	0.2748771956
227	0.2747668185
228	0.2745117289
229	0.2743709489
230	0.2741099127
231	0.2740432055
232	0.2739368955
233	0.2738232435
234	0.2737137649
235	0.2736405531
236	0.2735210079
237	0.2734139701
238	0.2732940826
239	0.273127012
240	0.2729960417
241	0.2729012581
242	0.2728627072
243	0.2727659784
244	0.2726671257
245	0.2724994653
246	0.2723576472
247	0.2722365493
248	0.2721393948
249	0.2719881807
250	0.271913147
251	0.2717793234
252	0.2716842445
253	0.2716084269
254	0.2714843267
255	0.2713922543
256	0.2712617395
257	0.2711376677
258	0.2709775095
259	0.2708796892
260	0.2707831713
261	0.2706651018
262	0.2705630991
263	0.2703580889
264	0.2702762385
265	0.2701717277
266	0.27005908
267	0.2698522322
268	0.2697418436
269	0.2696804703
270	0.2696002131
271	0.2694975338
272	0.2694025524
273	0.2693030475
274	0.2691390476
275	0.269033059
276	0.2689214709
277	0.2688145997
278	0.268653171
279	0.2685541275
280	0.2684805496
281	0.2683729205
282	0.2682496329
283	0.2681766937
284	0.2681186471
285	0.2680254151
286	0.2678351287
287	0.267750214
288	0.2675979698
289	0.2675025514
290	0.2672664607
291	0.2671031049
292	0.2670175032
293	0.2669622078
294	0.2668566388
295	0.266741509
296	0.2666243063
297	0.2665175711
298	0.2664478278
299	0.2663643704
300	0.2663093171
301	0.2662334287
302	0.2661665047
303	0.2660643635
304	0.2660000534
305	0.2658435234
306	0.2656819796
307	0.2655653524
308	0.2655638886
309	0.2654822675
310	0.2654809545
311	0.2653695911
312	0.2653012258
313	0.2651224616
314	0.2650196366
315	0.2649276153
316	0.2648553915
317	0.2647494442
318	0.2646293095
319	0.2645550531
320	0.264501614
321	0.26442294
322	0.2643238567
323	0.2642235054
324	0.2641319443
325	0.2640621253
326	0.2639832044
327	0.263876521
328	0.2638365017
329	0.2637421166
330	0.2636518024
331	0.2635721987
332	0.2634493847
333	0.2634031697
334	0.2633371803
335	0.2632734699
336	0.2632179768
337	0.26312746
338	0.2630569971
339	0.2629667766
340	0.2628997046
341	0.2628290801
342	0.2626985625
343	0.2626221324
344	0.2625349023
345	0.2624782918
346	0.2623973611
347	0.2622892785
348	0.2621914457
349	0.26209179
350	0.2620009085
351	0.2619249125
352	0.2618657748
353	0.2617999391
354	0.2617302325
355	0.2616635507
356	0.2616054711
357	0.2614822655
358	0.261417124
359	0.261343103
360	0.2612706465
361	0.2611781086
362	0.2611323668
363	0.2610476128
364	0.2609444335
365	0.2608387677
366	0.2606917715
367	0.2606448053
368	0.2605674615
369	0.2604880747
370	0.2604011922
371	0.2603105966
372	0.2602365214
373	0.2601368996
374	0.2600793494
375	0.260028856
376	0.259955806
377	0.2599265291
378	0.2598584862
379	0.2597596099
380	0.2596528132
381	0.2595593335
382	0.2594811882
383	0.2593964852
384	0.2593115427
385	0.2592198502
386	0.2591466388
387	0.2591440894
388	0.2590201845
389	0.2589569988
390	0.2588755719
391	0.258819625
392	0.2587550173
393	0.2586527055
394	0.258576954
395	0.2585388706
396	0.2584806579
397	0.2584042093
398	0.2583191589
399	0.25826365
400	0.2581961416
401	0.258139323
402	0.2580854534
403	0.258049868
404	0.2579717105
405	0.2579029457
406	0.2578768095
407	0.2578033304
408	0.2576867921
409	0.257622634
410	0.2575223185
411	0.2574363259
412	0.2573829945
413	0.2572208698
414	0.2571861629
415	0.2571076264
416	0.2570251235
417	0.2570239904
418	0.2569614547
419	0.2568557717
420	0.2567760011
421	0.2567456553
422	0.2566639431
423	0.2565881506
424	0.2565215305
425	0.2564877611
426	0.2564283133
427	0.2563349981
428	0.2562688455
429	0.2561992387
430	0.2561411736
431	0.2559822713
432	0.2559236358
433	0.2558749273
434	0.2557927454
435	0.2557293591
436	0.2556992664
437	0.2556457088
438	0.2555815397
439	0.2555031238
440	0.2554339159
441	0.2553959367
442	0.255354259
443	0.2552769626
444	0.2551662038
445	0.2550802512
446	0.2550421405
447	0.2549422017
448	0.2548407222
449	0.254767032
450	0.2546786043
451	0.2546074645
452	0.2546062135
453	0.2544536378
454	0.2543712701
455	0.254302429
456	0.2542204563
457	0.254117042
458	0.2540294017
459	0.2539360889
460	0.2538858458
461	0.2538158958
462	0.2537467199
463	0.2536905744
464	0.2535607008
465	0.2534394468
466	0.2533892839
467	0.2533260569
468	0.2532532713
469	0.2532366382
470	0.2532122261
471	0.2531458846
472	0.2531025979
473	0.2530144981
474	0.2529613659
475	0.2529025217
476	0.252816428
477	0.2527271521
478	0.2526237348
479	0.2525549292
480	0.2525244815
481	0.2524697359
482	0.2523714012
483	0.2522931355
484	0.2522348417
485	0.2521773854
